country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","24-03-2026 13:00:00",25.03280,85.41948,CO,36,46,41
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","24-03-2026 13:00:00",25.03280,85.41948,OZONE,22,27,25
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","24-03-2026 13:00:00",25.892357,86.590325,NO2,6,9,8
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","24-03-2026 13:00:00",25.892357,86.590325,OZONE,9,17,12
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","24-03-2026 13:00:00",25.859655,85.77944,SO2,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","24-03-2026 13:00:00",26.2271665,84.3570427,PM2.5,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","24-03-2026 13:00:00",26.2271665,84.3570427,NO2,NA,NA,NA
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","24-03-2026 13:00:00",26.11442,85.39813,OZONE,17,118,44
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","24-03-2026 13:00:00",26.1403345,85.3650192,NO2,2,6,3
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","24-03-2026 13:00:00",26.1209,85.3647,NO2,9,16,11
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","24-03-2026 13:00:00",26.1209,85.3647,SO2,4,7,5
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","24-03-2026 13:00:00",25.586562,85.043586,SO2,5,8,7
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","24-03-2026 13:00:00",25.592539,85.227158,NO2,15,18,16
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","24-03-2026 13:00:00",21.224231,81.408350,PM2.5,5,61,33
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","24-03-2026 13:00:00",21.224231,81.408350,PM10,15,70,45
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","24-03-2026 13:00:00",21.224231,81.408350,NH3,4,6,5
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","24-03-2026 13:00:00",22.118125,83.140608,PM2.5,25,157,72
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","24-03-2026 13:00:00",22.118125,83.140608,NO2,12,26,18
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","24-03-2026 13:00:00",22.368195,82.746431,PM2.5,14,78,58
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","24-03-2026 13:00:00",22.368195,82.746431,PM10,41,181,81
